dayofyear,T_out
1,-5.4
2,-0.204166667
3,-2.454166667
4,-3.058333333
5,-8.545833333
6,-14.22916667
7,-17.975
8,-14.20833333
9,-3.075
10,-1.525
11,-0.091666667
12,0.075
13,-8.3
14,-6.241666667
15,-5.283333333
16,2.741666667
17,6.645833333
18,4.366666667
19,0.183333333
20,-1.691666667
21,3.833333333
22,-0.283333333
23,-2.55
24,0.633333333
25,-1.804166667
26,-11.7375
27,-18.125
28,-12.0375
29,-9.258333333
30,-10.75833333
31,-3.683333333
32,-10.35
33,-6.833333333
34,-1.6
35,-3.554166667
36,-15.04583333
37,-16.775
38,-14.46666667
39,-7.495833333
40,0.116666667
41,3.075
42,5.866666667
43,4.741666667
44,1.025
45,-2.525
46,-7.629166667
47,-8.195833333
48,-2.2
49,1.845833333
50,-2.279166667
51,-4.2875
52,-2.841666667
53,3.8125
54,11.50833333
55,3.9625
56,2.554166667
57,-0.529166667
58,-1.379166667
59,-1.0875
60,3.079166667
61,0.7125
62,0.070833333
63,1.7625
64,-4.25
65,-1.3375
66,3.541666667
67,5.375
68,4.541666667
69,9.245833333
70,7.404166667
71,3.645833333
72,1.533333333
73,2.654166667
74,2.870833333
75,3.9625
76,-0.841666667
77,0.545833333
78,9.270833333
79,1.775
80,2.229166667
81,3.9875
82,5.133333333
83,3.395833333
84,3.1875
85,10.27083333
86,14.99583333
87,7.9375
88,7.479166667
89,1.7625
90,2.6
91,0.929166667
92,3.741666667
93,1.375
94,-0.1
95,0.441666667
96,1.8125
97,5.079166667
98,9.4
99,6.279166667
100,10.2625
101,17.54166667
102,13.24166667
103,10.90833333
104,17.29583333
105,24.46666667
106,25.32916667
107,23.5625
108,25.23333333
109,13.68333333
110,6.358333333
111,4.395833333
112,3.8125
113,8.058333333
114,13.425
115,7.920833333
116,6.445833333
117,7.691666667
118,7.7875
119,10.25833333
120,11.8875
121,11.86666667
122,14.40416667
123,16.17083333
124,21.01666667
125,20.125
126,14.65416667
127,8.145833333
128,8.908333333
129,10.7875
130,14.35833333
131,12.94583333
132,12.85416667
133,10.39166667
134,10.90416667
135,11.25
136,11.77083333
137,11.4625
138,13.52083333
139,13.39583333
140,15.09166667
141,17.9
142,19.5875
143,17.44583333
144,17.87916667
145,18.40416667
146,15.54166667
147,19.21666667
148,20.825
149,20.39166667
150,22.7375
151,20.66666667
152,18.89166667
153,19.48333333
154,20.62916667
155,23.8125
156,17.38333333
157,23.1125
158,23.84583333
159,23.60833333
160,21.11666667
161,17.51666667
162,19.39166667
163,17.54583333
164,19.34583333
165,24.51666667
166,27.24583333
167,26.90833333
168,20.4625
169,15.29166667
170,23.08333333
171,26.75416667
172,25.49583333
173,19.25833333
174,12.8875
175,15.5375
176,18.3875
177,22.49583333
178,24.88333333
179,24.19583333
180,19.97083333
181,20.21666667
182,16.875
183,19.30416667
184,19.32083333
185,24.89166667
186,28.3125
187,26.275
188,23.2
189,23.82083333
190,20.49583333
191,20.25
192,22.65
193,23.33333333
194,23.58333333
195,21.08333333
196,25.63333333
197,28.73333333
198,29.10833333
199,29.14166667
200,28.5625
201,25.14166667
202,22.57083333
203,24.23333333
204,25.5
205,27.34166667
206,24.40416667
207,23.13333333
208,25.8625
209,23.60416667
210,23.19583333
211,23.575
212,25.04166667
213,22.88333333
214,24.15416667
215,27.1
216,27.25833333
217,24.49166667
218,17.08333333
219,16.51666667
220,18.75
221,20.975
222,21.72916667
223,21.0875
224,20.39583333
225,21.78333333
226,20.9875
227,20.275
228,18.9625
229,19.325
230,19.6375
231,21.18333333
232,23.5875
233,23.95833333
234,24.5625
235,21.33333333
236,20.97916667
237,20.9375
238,21.6
239,23.7125
240,23.72916667
241,23.425
242,21.41666667
243,21.1625
244,18.67916667
245,16.575
246,16.34166667
247,20.59166667
248,22.8875
249,23.15
250,21.02083333
251,21.1
252,19.60833333
253,19.67916667
254,20.55416667
255,18.79166667
256,15.42083333
257,17.875
258,21.87083333
259,20.60833333
260,19.7125
261,17.49583333
262,14.92916667
263,13.1625
264,13.14583333
265,14.975
266,17.02916667
267,14.67083333
268,13.35833333
269,19.14166667
270,22.26666667
271,20.01666667
272,16.42916667
273,12.92916667
274,14.37083333
275,15.7875
276,14.72083333
277,12.6125
278,12.92083333
279,10.51666667
280,7.429166667
281,7.154166667
282,15.1875
283,15.06666667
284,14.6375
285,12.275
286,10.23333333
287,5.8875
288,6.554166667
289,7.108333333
290,8.704166667
291,9.666666667
292,9.091666667
293,13.19583333
294,18.6125
295,16.7125
296,7.475
297,7.433333333
298,11.73333333
299,8.266666667
300,9.8625
301,7.525
302,9.479166667
303,11.7875
304,8.395833333
305,14.73333333
306,17.30833333
307,17.62083333
308,12.57083333
309,11.71666667
310,13.10833333
311,13.4875
312,15.4875
313,13.44166667
314,1.966666667
315,0.879166667
316,-1.154166667
317,1.195833333
318,5.629166667
319,11.6375
320,7.825
321,4.495833333
322,3.129166667
323,4.454166667
324,9.375
325,-1.525
326,0.166666667
327,2.058333333
328,0.733333333
329,-5.925
330,-11.83333333
331,-4.970833333
332,-8.270833333
333,-6.3125
334,-1.079166667
335,3.895833333
336,-0.508333333
337,-0.466666667
338,0.991666667
339,-1.304166667
340,3.004166667
341,6.504166667
342,0.6375
343,-4.104166667
344,-5.35
345,-5.066666667
346,-2.6375
347,0.104166667
348,-2.425
349,-8.3625
350,-8.620833333
351,-7.575
352,-10.1
353,-13.04166667
354,-12.69166667
355,-1.145833333
356,0.15
357,-5.120833333
358,-5.770833333
359,-4.6875
360,-0.970833333
361,-2.695833333
362,-5.625
363,-12.89583333
364,-8.495833333
365,0.104166667
