siteid,heat_elec,heat_elec_type,heat_elec_control,heat_elec_dist,heat_gas,heat_gas_type,heat_gas_control,heat_gas_dist,backup_elec,backup_gas,backup_other,num_bath,num_bedroom,MoveIn,year_built,homebusiness,homerent,primaryres,income_support,workingoutside,num_occupant,has_kid,has_senior,dish_load,washer_load,ac_use,heat_sp,heat_sp_night,avg_height,ua_ceiling,has_dryer,num_computer,cook_elec,cook_gas,has_washer,dryer_elec,dryer_gas,num_audio,num_charger,num_game,num_tv,y_kwh,y_kbtu,light_ex_watt,ua_floor,light_in_watt,bldg_type,level_floor,num_room,tot_sqft,tot_vol,fraction_window,hdd65,cdd65,population_city,pv,year_ref,vol_ref,flow_shower,ua_total,ua_wall,hw_elec,hw_gas,hw_btuhr,hw_kw,hw_solar,hw_conditioned,hw_year,hw_size,hw_type,ua_window
10040,1,baseboard,thermostat,zonal,0,none,none,none,0,0,0,2,3,1994,1924,0,0,1,0,1,7,1,0,10,10,0,NA,NA,9,NA,1,1,1,0,1,1,0,2,4,1,2,19610.931640625,NA,225,127.600006103516,3302,Single,1.5,12,1939,14085,0.100000001490116,4320,264,214991.5,0,1995.5,16.5,2,NA,NA,1,0,0,5.5,0,1,1999,50,tank,83.05000180006027
10388,1,baseboard,thermostat,zonal,0,none,none,none,1,0,0,1,1,2009,1912,0,0,1,0,2,2,0,0,1,2,0,67,65,7.5,67.3600006103516,1,1,1,0,1,1,0,2,0,3,2,12871.2412109375,NA,13,52.6348724365234,477,Single,1.5,10,943,7072.5,0.230000004172325,5288,123,108387.3359375,0,2010,14,2.5,300.374877929688,106.129997253418,1,0,0,4.5,0,1,1999,40,tank,74.24999803304671
10887,1,hp,programmable,ducted,0,none,none,none,1,0,0,2,4,1975,1900,0,0,1,0,2,3,0,1,2,3,0,72,72,8.5,52.9000015258789,1,2,1,0,1,1,0,5,2,0,3,48829.87890625,NA,180,114.129776000977,3001,Single,1.5,15,2514,21369,0.189999997615814,5288,123,108387.3359375,0,2006,22,2,984.2197265625,462.639984130859,1,0,0,4.5,0,1,2003,50,tank,354.54999500513077
11418,1,hp,programmable,ducted,0,none,none,none,0,0,0,2,3,2008,2008,0,0,1,0,1,3,1,0,4,7,1,68,64,8,33.1500015258789,1,15,1,0,1,1,0,1,5,1,2,10570.373046875,NA,60,40.0950317382813,1000,Single,1,9,1326,10608,0.189999997615814,4673,287,513022.625,0,2005,16,4,255.6650390625,87.9199981689453,1,0,0,4.5,0,0,2008,50,tank,94.4999974966049
11775,1,hp,thermostat,ducted,0,none,none,none,1,0,0,3,2,2003,1977,0,0,1,0,0,2,0,1,7,4,1,71,50,8,144.979995727539,1,1,1,0,1,1,0,2,1,0,2,18939.662109375,NA,165,87.8666687011719,2408,Single,1,11,1318,10544,0.150000005960464,5372,106,679039.5,0,1996.6666666666667,19,4.5,537.056640625,210.859985351563,1,0,0,4.5,0,0,2003,50,tank,93.34999984502792
12063,1,faf,programmable,ducted,0,none,none,none,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,0,NA,NA,1,5,0,1,NA,NA,NA,NA,1296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,0,0,0,0,0,NA,5,tank,35.75000077486038
12507,1,hp,thermostat,zonal,0,none,none,none,1,0,0,1,1,2000,1949,0,0,1,0,2,3,1,0,2,4,1,68,68,8,97.3400039672852,1,1,1,0,1,1,0,4,5,0,3,18495.541015625,NA,100,110.962509155273,1957,Single,1,8,1142,9136,0.25,4705,188,214991.5,0,2008.5,15,NA,472.472503662109,149.720001220703,1,0,0,4.5,0,0,1999,50,tank,103.04999727010726
12975,1,hp,programmable,ducted,0,none,none,none,1,0,0,2,3,1992,1977,1,0,1,0,2,2,0,0,2,3,1,69,55,8,112.860000610352,1,2,1,0,1,1,0,3,7,1,6,16745.37109375,NA,206,159.509643554688,3248,Single,1,10,1188,9504,0.150000005960464,4533,313,513022.625,0,1989.3333333333333,14.333333333333334,3.5,511.279632568359,172.309997558594,1,0,0,4.5,0,0,2008,40,tank,66.5999982357025
12994,0,none,none,none,1,faf,thermostat,ducted,1,0,0,4,4,1975,1906,0,0,1,0,0,2,0,1,5,6,0,65,65,9,293.279998779297,1,1,1,0,1,1,0,0,1,0,2,11668.193359375,67142.01196714476,1150,87.4800033569336,5886,Single,2,21,4320,38880,0.159999996423721,4415,374,513022.625,0,2002,17.5,4,2174.46997070313,1299.4599609375,0,1,40000,0,0,1,1999,50,tank,494.25
13019,0,none,none,none,1,faf,thermostat,ducted,1,1,0,3,3,1992,1966,0,0,1,0,4,4,0,1,4,7,0,68,55,8.5,100.305000305176,1,1,1,0,1,1,0,1,6,0,2,10750.9599609375,83837.45927791136,284,182.658615112305,3429,Single,1,18,3177,27004.5,0.140000000596046,4415,374,513022.625,0,1984,21.666666666666668,6,781.043640136719,391.900024414063,0,1,40000,0,0,1,2008,50,tank,106.18000033497806
